"temperature_C","rr_cumulative","rr_low_95","rr_high_95","or_cumulative","or_low_95","or_high_95"
8.8,1.13664081471239,1.10419647672486,1.17003845683522,1.13664081471239,1.10419647672486,1.17003845683522
8.9,1.13534216218984,1.10301449245187,1.16861730654201,1.13534216218984,1.10301449245187,1.16861730654201
9,1.13404320543023,1.10183166928751,1.16719643084327,1.13404320543023,1.10183166928751,1.16719643084327
9.1,1.13274407486235,1.10064811983567,1.16577597872728,1.13274407486235,1.10064811983567,1.16577597872728
9.2,1.13144490033328,1.09946395729216,1.16435609735045,1.13144490033328,1.09946395729216,1.16435609735045
9.3,1.13014581110819,1.09827929549899,1.16293693198059,1.13014581110819,1.09827929549899,1.16293693198059
9.4,1.12884693587041,1.09709424899666,1.1615186259425,1.12884693587041,1.09709424899666,1.1615186259425
9.5,1.12754840272153,1.0959089330746,1.16010132056595,1.12754840272153,1.0959089330746,1.16010132056595
9.6,1.12625033918173,1.09472346381954,1.15868515513619,1.12625033918173,1.09472346381954,1.15868515513619
9.7,1.12495287219024,1.09353795816182,1.15727026684684,1.12495287219024,1.09353795816182,1.15727026684684
9.8,1.1236561281059,1.09235253391968,1.15585679075541,1.1236561281059,1.09235253391968,1.15585679075541
9.9,1.12236023270792,1.09116730984139,1.15444485974134,1.12236023270792,1.09116730984139,1.15444485974134
10,1.12106531119674,1.08998240564516,1.15303460446662,1.12106531119674,1.08998240564516,1.15303460446662
10.1,1.11977148819505,1.08879794205693,1.15162615333909,1.11977148819505,1.08879794205693,1.15162615333909
10.2,1.11847888774894,1.08761404084585,1.15021963247843,1.11847888774894,1.08761404084585,1.15021963247843
10.3,1.1171876333292,1.08643082485752,1.14881516568473,1.1171876333292,1.08643082485752,1.14881516568473
10.4,1.11589784783274,1.08524841804491,1.14741287440994,1.11589784783274,1.08524841804491,1.14741287440994
10.5,1.11460965358417,1.08406694549696,1.14601287773191,1.11460965358417,1.08406694549696,1.14601287773191
10.6,1.11332317233746,1.08288653346488,1.14461529233132,1.11332317233746,1.08288653346488,1.14461529233132
10.7,1.11203852527783,1.08170730938597,1.14322023247127,1.11203852527783,1.08170730938597,1.14322023247127
10.8,1.11075583302366,1.08052940190517,1.14182780997974,1.11075583302366,1.08052940190517,1.14182780997974
10.9,1.10947521562862,1.07935294089421,1.14043813423475,1.10947521562862,1.07935294089421,1.14043813423475
11,1.10819679258389,1.07817805746831,1.1390513121524,1.10819679258389,1.07817805746831,1.1390513121524
11.1,1.10692068282048,1.07700488400058,1.1376674481776,1.10692068282048,1.07700488400058,1.1376674481776
11.2,1.10564700471178,1.07583355413398,1.13628664427759,1.10564700471178,1.07583355413398,1.13628664427759
11.3,1.10437587607612,1.07466420279094,1.13490899993824,1.10437587607612,1.07466420279094,1.13490899993824
11.4,1.10310741417951,1.07349696618067,1.13353461216304,1.10310741417951,1.07349696618067,1.13353461216304
11.5,1.10184173573852,1.07233198180407,1.1321635754748,1.10184173573852,1.07233198180407,1.1321635754748
11.6,1.10057895692325,1.07116938845644,1.13079598192001,1.10057895692325,1.07116938845644,1.13079598192001
11.7,1.09931919336043,1.07000932622789,1.12943192107583,1.09931919336043,1.07000932622789,1.12943192107583
11.8,1.09806256013667,1.06885193650151,1.12807148005967,1.09806256013667,1.06885193650151,1.12807148005967
11.9,1.0968091718018,1.06769736194944,1.12671474354127,1.0968091718018,1.06769736194944,1.12671474354127
12,1.09555914237234,1.0665457465268,1.1253617937573,1.09555914237234,1.0665457465268,1.1253617937573
12.1,1.09431258533508,1.06539723546352,1.12401271052833,1.09431258533508,1.06539723546352,1.12401271052833
12.2,1.09306961365078,1.0642519752542,1.12266757127819,1.09306961365078,1.0642519752542,1.12266757127819
12.3,1.09183033975801,1.06311011364613,1.12132645105557,1.09183033975801,1.06311011364613,1.12132645105557
12.4,1.0905948755771,1.06197179962526,1.11998942255787,1.0905948755771,1.06197179962526,1.11998942255787
12.5,1.08936333251415,1.06083718340061,1.11865655615712,1.08936333251415,1.06083718340061,1.11865655615712
12.6,1.08813582146523,1.05970641638679,1.11732791992802,1.08813582146523,1.05970641638679,1.11732791992802
12.7,1.08691245282065,1.05857965118503,1.11600357967784,1.08691245282065,1.05857965118503,1.11600357967784
12.8,1.08569333646935,1.05745704156264,1.11468359897827,1.08569333646935,1.05745704156264,1.11468359897827
12.9,1.0844785818034,1.05633874243098,1.113368039199,1.0844785818034,1.05633874243098,1.113368039199
13,1.08326829772263,1.05522490982219,1.11205695954299,1.08326829772263,1.05522490982219,1.11205695954299
13.1,1.08206259263932,1.05411570086456,1.11075041708327,1.08206259263932,1.05411570086456,1.11075041708327
13.2,1.08086157448307,1.05301127375681,1.10944846680134,1.08086157448307,1.05301127375681,1.10944846680134
13.3,1.07966535070571,1.05191178774133,1.1081511616268,1.07966535070571,1.05191178774133,1.1081511616268
13.4,1.07847402828634,1.05081740307639,1.10685855247833,1.07847402828634,1.05081740307639,1.10685855247833
13.5,1.07728771373653,1.04972828100757,1.10557068830588,1.07728771373653,1.04972828100757,1.10557068830588
13.6,1.07610651310552,1.04864458373841,1.1042876161338,1.07610651310552,1.04864458373841,1.1042876161338
13.7,1.07493053198559,1.04756647440044,1.10300938110505,1.07493053198559,1.04756647440044,1.10300938110505
13.8,1.07375987551757,1.04649411702256,1.10173602652622,1.07375987551757,1.04649411702256,1.10173602652622
13.9,1.07259464839635,1.04542767650014,1.1004675939133,1.07259464839635,1.04542767650014,1.1004675939133
14,1.07143495487658,1.04436731856362,1.09920412303811,1.07143495487658,1.04436731856362,1.09920412303811
14.1,1.07028089877845,1.04331320974693,1.09794565197528,1.07028089877845,1.04331320974693,1.09794565197528
14.2,1.06913258349354,1.04226551735579,1.09669221714968,1.06913258349354,1.04226551735579,1.09669221714968
14.3,1.0679901119908,1.04122440943584,1.09544385338423,1.0679901119908,1.04122440943584,1.09544385338423
14.4,1.06685358682261,1.04019005474095,1.09420059394793,1.06685358682261,1.04019005474095,1.09420059394793
14.5,1.06572311013099,1.03916262270152,1.09296247060407,1.06572311013099,1.03916262270152,1.09296247060407
14.6,1.06459878365381,1.03814228339311,1.09172951365858,1.06459878365381,1.03814228339311,1.09172951365858
14.7,1.0634807087312,1.03712920750524,1.09050175200827,1.0634807087312,1.03712920750524,1.09050175200827
14.8,1.06236898631201,1.03612356631071,1.08927921318909,1.06236898631201,1.03612356631071,1.08927921318909
14.9,1.06126371696034,1.03512553163526,1.08806192342412,1.06126371696034,1.03512553163526,1.08806192342412
15,1.06016500086222,1.03413527582777,1.08684990767143,1.06016500086222,1.03413527582777,1.08684990767143
15.1,1.05907293783235,1.03315297173118,1.08564318967151,1.05907293783235,1.03315297173118,1.08564318967151
15.2,1.05798762732095,1.03217879265388,1.08444179199442,1.05798762732095,1.03217879265388,1.08444179199442
15.3,1.0569091684207,1.03121291234201,1.08324573608641,1.0569091684207,1.03121291234201,1.08324573608641
