"state","date","temp","deaths","Ni","rr_i","ac_i"
"New York",2025-09-13,16.9142857142857,92,95.125,1.1232658657371,10.4389048362538
"New York",2025-09-20,18.8571428571429,96,96.125,1.13348235983331,11.3199748788892
"New York",2025-09-27,18.3,93,97.75,1.13054316402949,11.2871358563627
"New York",2025-10-04,15.0428571428571,106,96.5,1.11351205672143,9.83726526129434
"New York",2025-10-11,14.4714285714286,91,96.75,1.11055070759661,9.63106041606993
"New York",2025-10-18,10.5142857142857,89,97.125,1.09025834276127,8.04060945636623
"New York",2025-10-25,11.6285714285714,107,98.25,1.0959346377831,8.60049298309968
"New York",2025-11-01,7.25714285714286,87,100.75,1.07383410756189,6.92731426993848
"New York",2025-11-08,7.34285714285714,100,106,1.07426313791625,7.327713612506
"New York",2025-11-15,3.68571428571429,109,109.875,1.05610932605844,5.83747539062049
"New York",2025-11-22,2.32857142857143,83,110,1.04945088346683,5.18327943408062
"New York",2025-11-29,3.24285714285714,108,114.5,1.05393194056115,5.85920869896379
"New York",2025-12-06,-3.35714285714286,94,115.8,1.02200880591726,2.49373558276815
"New York",2025-12-13,-4.14285714285714,98,121.25,1.0182734216262,2.17589139136959
"New York",2025-12-20,-1.88571428571429,127,129,1.02904106041521,3.6405707582264
"New York",2025-12-27,-2.97142857142857,129,130,1.02384755141545,3.0279719668449
"New York",2026-01-03,-5.94285714285714,131,131,1.00976737960524,1.26714999328533
"North Carolina",2018-01-06,-4.54285714285714,73,84.625,1,0
"North Carolina",2018-01-13,6.24285714285714,66,87.375,1.00341770099834,0.297604501527786
"North Carolina",2018-01-20,-0.685714285714286,91,87.75,1.00122088502036,0.107002023369023
"North Carolina",2018-01-27,8.8,72,86.75,1.00422970183539,0.365381180769573
"North Carolina",2018-02-03,4.68571428571429,96,85.625,1.00292356405662,0.24960044944522
"North Carolina",2018-02-10,7.94285714285714,87,84.375,1.00395744959636,0.332593587334582
"North Carolina",2018-02-17,13.2,106,85,1.00562842599766,0.475738550575142
"North Carolina",2018-02-24,16.1,86,80.5,1.00655137737312,0.523953262984864
"North Carolina",2018-03-03,11.4714285714286,95,79.75,1.00507869502833,0.402979319443275
"North Carolina",2018-03-10,5.64285714285714,69,76.375,1.00322727078296,0.245689898218561
"North Carolina",2018-03-17,6.58571428571429,83,78.125,1.0035265344931,0.274542324296724
"North Carolina",2018-03-24,7.3,63,76.125,1.00375330885539,0.284652248810199
"North Carolina",2018-03-31,11.1285714285714,86,75.875,1.00496969320015,0.375210789054474
"North Carolina",2018-04-07,14.2,92,73.125,1.00594658945522,0.432273799097736
"North Carolina",2018-04-14,12.3857142857143,70,71,1.00536942437322,0.379193081922457
"North Carolina",2018-04-21,14.5428571428571,80,71.75,1.00605569724031,0.431880936795045
"North Carolina",2018-04-28,16.4142857142857,68,73.375,1.00665145252111,0.484825534711284
"North Carolina",2018-05-05,19.2714285714286,83,74.375,1.00756168309351,0.558179404315354
"North Carolina",2018-05-12,21.5428571428571,67,73,1.00828590361537,0.599900248286097
"North Carolina",2018-05-19,23.5714285714286,61,74.75,1.00893313179168,0.661839303703437
"North Carolina",2018-05-26,23.3857142857143,64,76.625,1.0088738612354,0.673978822615109
"North Carolina",2018-06-02,23.9,75,75.875,1.00903800361381,0.679616150969321
"North Carolina",2018-06-09,24.2428571428571,76,75.375,1.00914744670233,0.683238903731598
"North Carolina",2018-06-16,24.4857142857143,93,75.5,1.00922497607203,0.690119358865931
"North Carolina",2018-06-23,28.5428571428571,76,72.625,1.01052105387226,0.756136187905245
"North Carolina",2018-06-30,26.5714285714286,72,71.25,1.0098910618284,0.697835818050824
"North Carolina",2018-07-07,27.8857142857143,81,72.25,1.01031101286944,0.737367672258534
"North Carolina",2018-07-14,25.5,76,74,1.00954883959547,0.699930604990025
"North Carolina",2018-07-21,26.1571428571429,58,74.625,1.00975872214448,0.721206585356551
"North Carolina",2018-07-28,24.8571428571429,71,76.25,1.00934356192336,0.705851430109903
"North Carolina",2018-08-04,24.1714285714286,77,77.625,1.00912464508003,0.701896022251199
"North Carolina",2018-08-11,26.4285714285714,70,77.75,1.0098454254955,0.758018814512319
"North Carolina",2018-08-18,25.5428571428571,65,78.5,1.00956252625792,0.743548112893459
"North Carolina",2018-08-25,23.7,80,80.375,1.00897416729352,0.714883214653252
"North Carolina",2018-09-01,26.3714285714286,95,79.875,1.00982717153978,0.777306601428543
"North Carolina",2018-09-08,26.6285714285714,81,76.625,1.00990931693901,0.751851079811233
"North Carolina",2018-09-15,24.4285714285714,71,74.5,1.00920673333155,0.679644329102179
"North Carolina",2018-09-22,24.2,82,76,1.00913376566713,0.687883226504404
"North Carolina",2018-09-29,23.0285714285714,78,78,1.00875988918261,0.67733795085486
"North Carolina",2018-10-06,23.1571428571429,76,78,1.0088009176383,0.680482703558726
"North Carolina",2018-10-13,21.2428571428571,80,79.5,1.00819022202018,0.645833133850154
"North Carolina",2018-10-20,16.7571428571429,76,80.25,1.00676063675762,0.538897807473013
"North Carolina",2018-10-27,10.4571428571429,69,82.375,1.0047562655284,0.389942701870856
"North Carolina",2018-11-03,14.5,64,84.5,1.00604205812002,0.507487641317658
"North Carolina",2018-11-10,13.8428571428571,83,86.625,1.00583294809508,0.502348953366128
