"state","residence_state_code","mmwr_week","mmwr_week_code","year","week","week_end_date","icd_chapter","icd_chapter_code","deaths"
"Alabama","01","2021 Week 17 ending May 01, 2021","2021/17",2021,17,2021-05-01,"Diseases of the genitourinary system","N00-N99",38
"Alabama","01","2021 Week 18 ending May 08, 2021","2021/18",2021,18,2021-05-08,"Diseases of the genitourinary system","N00-N99",36
"Alabama","01","2021 Week 19 ending May 15, 2021","2021/19",2021,19,2021-05-15,"Diseases of the genitourinary system","N00-N99",14
"Alabama","01","2021 Week 20 ending May 22, 2021","2021/20",2021,20,2021-05-22,"Diseases of the genitourinary system","N00-N99",12
"Alabama","01","2021 Week 21 ending May 29, 2021","2021/21",2021,21,2021-05-29,"Diseases of the genitourinary system","N00-N99",22
"Alabama","01","2021 Week 22 ending June 05, 2021","2021/22",2021,22,2021-06-05,"Diseases of the genitourinary system","N00-N99",20
"Alabama","01","2021 Week 23 ending June 12, 2021","2021/23",2021,23,2021-06-12,"Diseases of the genitourinary system","N00-N99",17
"Alabama","01","2021 Week 24 ending June 19, 2021","2021/24",2021,24,2021-06-19,"Diseases of the genitourinary system","N00-N99",17
"Alabama","01","2021 Week 25 ending June 26, 2021","2021/25",2021,25,2021-06-26,"Diseases of the genitourinary system","N00-N99",25
"Alabama","01","2021 Week 26 ending July 03, 2021","2021/26",2021,26,2021-07-03,"Diseases of the genitourinary system","N00-N99",23
"Alabama","01","2021 Week 27 ending July 10, 2021","2021/27",2021,27,2021-07-10,"Diseases of the genitourinary system","N00-N99",20
"Alabama","01","2021 Week 28 ending July 17, 2021","2021/28",2021,28,2021-07-17,"Diseases of the genitourinary system","N00-N99",19
"Alabama","01","2021 Week 29 ending July 24, 2021","2021/29",2021,29,2021-07-24,"Diseases of the genitourinary system","N00-N99",18
"Alabama","01","2021 Week 30 ending July 31, 2021","2021/30",2021,30,2021-07-31,"Diseases of the genitourinary system","N00-N99",16
"Alabama","01","2021 Week 31 ending August 07, 2021","2021/31",2021,31,2021-08-07,"Diseases of the genitourinary system","N00-N99",19
"Alabama","01","2021 Week 32 ending August 14, 2021","2021/32",2021,32,2021-08-14,"Diseases of the genitourinary system","N00-N99",19
"Alabama","01","2021 Week 33 ending August 21, 2021","2021/33",2021,33,2021-08-21,"Diseases of the genitourinary system","N00-N99",36
"Alabama","01","2021 Week 34 ending August 28, 2021","2021/34",2021,34,2021-08-28,"Diseases of the genitourinary system","N00-N99",24
"Alabama","01","2021 Week 35 ending September 04, 2021","2021/35",2021,35,2021-09-04,"Diseases of the genitourinary system","N00-N99",31
"Alabama","01","2021 Week 36 ending September 11, 2021","2021/36",2021,36,2021-09-11,"Diseases of the genitourinary system","N00-N99",18
"Alabama","01","2021 Week 37 ending September 18, 2021","2021/37",2021,37,2021-09-18,"Diseases of the genitourinary system","N00-N99",25
"Alabama","01","2021 Week 38 ending September 25, 2021","2021/38",2021,38,2021-09-25,"Diseases of the genitourinary system","N00-N99",29
"Alabama","01","2021 Week 39 ending October 02, 2021","2021/39",2021,39,2021-10-02,"Diseases of the genitourinary system","N00-N99",21
"Alabama","01","2021 Week 40 ending October 09, 2021","2021/40",2021,40,2021-10-09,"Diseases of the genitourinary system","N00-N99",17
"Alabama","01","2021 Week 41 ending October 16, 2021","2021/41",2021,41,2021-10-16,"Diseases of the genitourinary system","N00-N99",24
"Alabama","01","2021 Week 42 ending October 23, 2021","2021/42",2021,42,2021-10-23,"Diseases of the genitourinary system","N00-N99",23
"Alabama","01","2021 Week 43 ending October 30, 2021","2021/43",2021,43,2021-10-30,"Diseases of the genitourinary system","N00-N99",20
"Alabama","01","2021 Week 44 ending November 06, 2021","2021/44",2021,44,2021-11-06,"Diseases of the genitourinary system","N00-N99",21
"Alabama","01","2021 Week 45 ending November 13, 2021","2021/45",2021,45,2021-11-13,"Diseases of the genitourinary system","N00-N99",16
"Alabama","01","2021 Week 46 ending November 20, 2021","2021/46",2021,46,2021-11-20,"Diseases of the genitourinary system","N00-N99",19
"Alabama","01","2021 Week 47 ending November 27, 2021","2021/47",2021,47,2021-11-27,"Diseases of the genitourinary system","N00-N99",20
"Alabama","01","2021 Week 48 ending December 04, 2021","2021/48",2021,48,2021-12-04,"Diseases of the genitourinary system","N00-N99",25
"Alabama","01","2021 Week 49 ending December 11, 2021","2021/49",2021,49,2021-12-11,"Diseases of the genitourinary system","N00-N99",27
"Alabama","01","2021 Week 50 ending December 18, 2021","2021/50",2021,50,2021-12-18,"Diseases of the genitourinary system","N00-N99",16
"Alabama","01","2021 Week 51 ending December 25, 2021","2021/51",2021,51,2021-12-25,"Diseases of the genitourinary system","N00-N99",16
"Alabama","01","2021 Week 52 ending January 01, 2022","2021/52",2021,52,2022-01-01,"Diseases of the genitourinary system","N00-N99",23
"Alabama","01","2022 Week 01 ending January 08, 2022","2022/01",2022,1,2022-01-08,"Diseases of the genitourinary system","N00-N99",23
"Alabama","01","2022 Week 02 ending January 15, 2022","2022/02",2022,2,2022-01-15,"Diseases of the genitourinary system","N00-N99",29
"Alabama","01","2022 Week 03 ending January 22, 2022","2022/03",2022,3,2022-01-22,"Diseases of the genitourinary system","N00-N99",19
"Alabama","01","2022 Week 04 ending January 29, 2022","2022/04",2022,4,2022-01-29,"Diseases of the genitourinary system","N00-N99",35
"Alabama","01","2022 Week 05 ending February 05, 2022","2022/05",2022,5,2022-02-05,"Diseases of the genitourinary system","N00-N99",26
"Alabama","01","2022 Week 06 ending February 12, 2022","2022/06",2022,6,2022-02-12,"Diseases of the genitourinary system","N00-N99",27
"Alabama","01","2022 Week 07 ending February 19, 2022","2022/07",2022,7,2022-02-19,"Diseases of the genitourinary system","N00-N99",31
